  ,Open Points - Project FRAME,,,,,,,,Legende,,,,,,,,,,,
,,,,,,,,,--> Fields not to be filled,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Date,26/2/2026,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,#,Source,"Date
Reported
(tt/mm/jjjj)",Location,Sub-Workstream reporting,WP,Category,Title,Action/ Description/ Impact,"Execution Owner
(Responsbile)",Other Owner,Priority,Status ,"Due Date
(tt/mm/jjjj)",Finalized Date (tt/mm/jjjj),Comments,Wrap-Up  für Closing OPL ITEM as of 30.06.2025,Focus today,To be closed,Escalation
,1,other,20/11/2023,all,General,,Issue / Open Point,Separation Object List,"Separation Object List
- approach to be decided
- Suggestion: have one ""master data"" list, that contains all separation objects (applications, infra items, employees, costs
- Advantage: single source of truth, accounting for interdependencies, data analysis possibilites (MS PowerBI), etc.",KPMG,,High,Done,12/8/2023,,"12.12. 
- Currently in alignment with (3) Other apps
- Idea (in validation): use LeanIX for ""As-is"", to account for interdependencies between e.g. applications and databases

'Alignment with main workstreams ongoing, mainly WS3, WS1",,,,
,2,Confirmatory Review,21/11/2023,all,General,,Issue / Open Point,Legal Entity List,"Required for all Sub-WS - Overview of all Locations
 - Overview of all new LEs
 - Overview of all remaining LEs
 - Alignment of LEs with ERP company codes",KPMG,,Critical,Done,12/8/2023,25/1/2024,"25.01.: LE List shared in IT Jour Fixe, links are being publshed/shared on Shaerpoint central place 
12.12.
- Legal entity list (WIP) provided by M. Notz and M. Fritsch",,,,
,3,Confirmatory Review,21/11/2023,all,2 - Commercial IT incl. ERP,,Issue / Open Point,Carve-out from SO/ES ," - This part also represents a part of the transaction (tbc)
 - Clarity of the complete transaction scope (including specific list of concrete items which are still open)",tbd,,High,Done,12/8/2023,,"13.12.
- Update, if this is covered in transaction scope",,,,
,4,Confirmatory Review,21/11/2023,all,General,,Dependency,Consolidated requests via PMO," - Information Requestes (e.g. to the BUs / regions) with other Workstreams could potentially be send out consolidated 
 - Clarification who is sending out when the consolidated lists",KPMG,,High,Done,12/8/2023,,"12.12.
- Currently in alignment with Core team",,,,
,5,Confirmatory Review,21/11/2023,all,2 - Commercial IT incl. ERP,,Issue / Open Point,FRAME Sales - new client - supplier relationships required,"* to IB 
* to HOME 
-> Go to Market Approach to be clarified by SALES Workstream",KPMG to SALES Workstream,,,Done,12/8/2023,,"12.12.
- Is in scope within Sales & G2M Workstream
- Keep as reminder here?",,,,
,6,Generell Kick-off,27/11/2023,all,6 - IT Organization & Processes,,Issue / Open Point,New IT for LATAM, So far there is no “own” IT for BT-ST / Frame -> Are there special considerations required ? ,6 - IT Organization & Processes,,Moderate,Done,2/5/2024,,"14.02.2024: is covered in Sub-Workstream 2
25.01.2024: BPO & ERP Approach in discussion for Brazil. 
12.12.
- Covered in scope already?",,,,
,7,Generell Kick-off,27/11/2023,all,2 - Commercial IT incl. ERP,,Issue / Open Point,SAP Commissions,"Processing incentives, etc. are mixed with IB and FS. ",2 - Commercial IT incl. ERP,,High,Done,12/8/2023,3/4/2024,"- OPL top can be closed here - topic is addressed to business for decision of further use of SAP Commissions + alignment with SWS 5 HR IT – current licence renewals within Bosch will consider these decisions / PSO is informed.

- OPL top can be closed here - topic is addressed to business for decision of further use of SAP Commissions + alignment with SWS 5 HR IT – current licence renewals within Bosch will consider these decisions / PSO is informed.",,,,
,9,Generell Kick-off,27/11/2023,all,General,,Dependency,Interface Data Protection,Interface data protection and information security (also concerning implementation in tools),Thomas Büttner,,Moderate,Closed,12/12/2023,,"~15.02.2024 DSO involved in IAM sub-Project
12.12.
- Update from IT Security on-site workshop?",,,,
,15,weekly Jour Fixe,14/12/2023,all,General,,Issue / Open Point,Vacation tracking,Fill out vacation calendar for period until end of 2024,All,,Moderate,Closed,Recurring,,02.02.2024 Reminder on vacation Calender,,,,
,11,Alignment Contract & Licences,29/11/2023,all,7 - IT Contracts & Licenses,,Issue / Open Point,S-WS7 Alignment with other WS,"Allocation of assets among the Sub-Workstrams (e.g. 1 - Infrastructure)
- Closing all definition gaps ",7 - IT Contracts & Licenses,,Low,Done,12/8/2023,,normal project work - not required to be followed as an open point,,,,
,12,weekly Jour Fixe,30/11/2023,all,3 - Other Applications,,Issue / Open Point,Feedback on LeanIX extract,Request from Andi Baur to other Sub-WS to review filtererd Lean IX Extracts ,3 - Other Applications,,Moderate,Done,2/5/2024,,"30.01.: Review started; missing LeanIX still need to be added to the central list by SWS (~150 missing)
12.12.
- Will be triggered as soon as first, aligned LeanIX excerpt is final
",,,,
,13,Onsite Tage,12/5/2023,all,General,,Issue / Open Point,Set onsite dates,"January: 17.&18.01.
February: 7.&08.02.,  20.&21.02 -> biweekly.
GW: Room booking, Updates Kalender
KPMG: Info to Sub-WS Leads
",PMO,,,Done,12/7/2023,,"14.02.2024 - further onsite dates to be scheduled.
12.12.
- Rooms are booked
- Slots are in calendars
- Sub-WS will be informed with initial agenda draft before christmas break
--> Close here?",,,,
,14,weekly Jour Fixe,12/7/2023,all,General,,Issue / Open Point,Public calendar entries ,Open visibility of the calendars of the various sub-WS leaders and the public FRAME calendar ,PMO/All,,Low,Done,12/8/2023,,"12.12.
- FRAME calendar is visible to everyone
- Decision on personal calendars pending",,,,
,67,IT WS (21.02.),21/2/2024,all,1 - IT Infrastructure,,Issue / Open Point,"Point of No return ""Definition""","All Sub-Workstreams to reflect their relevant ""point(s) of no return""",All,,Moderate,Closed,29/2/2024,,"Definition of ""point of no return"" -> implemented change in production environment, that cannot be reversed back easily, and that can have a negative impact (cost, compliance, etc.) if extended for a longer period. ",,,,
,16,All workstream update,20/12/2023,LatAm,General,,Issue / Open Point,IT Solution for LatAm,"IT Solution for LatAm, specially Brazil (ERP)",All,,Low,Done,11/1/2024,,,,,,
,17,All workstream update,20/12/2023,all,General,,Issue / Open Point,Current  business process outsourcing activities,,6 - IT Organization & Processes,,Moderate,Done,2/2/2024,,02.02.2024 - Update on BPO Approach ,,,,
,18,As-Is Analysis Field Service,20/12/2023,all,3 - Other Applications,,Issue / Open Point,Local Tools of specific NewCo Locations,"Scope: Are also the local tools considered in scope yet? For e.g. in Grasbrunn 15-20 tools and Straubing +x, + further tools in other locations worldwide",3 - Other Applications,,Moderate,Closed,21/12/2023,,"- Local tools included, if they 
    - were reported via LeanIX or Business Interviews 
    - are not part of streams 4a and 4b",,,,
,19,As-Is Analysis Field Service,20/12/2023,all,7 - IT Contracts & Licenses,,Issue / Open Point,Contracts for External Device Mgmt,Scope: Are the contracts with the external supplier for devices (Asset Mgmt lik Laptops etc.) also considered in Sub-WS7 Scope?,7 - IT Contracts & Licenses,,Moderate,Done,21/12/2023,,04.03.2024 Abr: Assumption that laptop and printers management is part of stream 1? In Sub-WS 7 scope,,,,
,20,As-Is Analysis Field Service,20/12/2023,all,1 - IT Infrastructure,,Issue / Open Point,Scope Clarification ITSP Content and Financial Estimation,"In which workstream is the content of todays IT Service Portals in sope? 1 Infrastructure or 6 IT Org & Processes? Who is supposed to create decision matrix which services are going to be provided incl. Cost estimation for NewCo?
",6 - IT Organization & Processes,,Moderate,Done,15/2/2024,,"22.01.2024: Input or recommendations required to take decisions towards NewCo Service Catalogue
21.12.2023: Decision Project Lead IT Service Portal is scope of Sub-WS6.
",,,,
,21,As-Is Analysis Field Service,20/12/2023,all,4a. Engineering IT,,Issue / Open Point,Developer Network for Engineering with own Service Infrastructure,Engineering Developer Network,4a. Engineering IT,,Moderate,Closed,21/12/2023,,"2024-03-28 * BUs are accountable and operate the Engineering specific network.
* For access from Bosch / newCo network  to be considered by IT Infrastructure sub-Workstream (e.g. Nürnberg) for specific cases /e.g. access. 

2024-05-27-  No change needed -> Worksession will be held to confirm ",,,,
,22,Weekly all-WS JF,20/12/2023,all,General,,Issue / Open Point,IT Topics brought up by Business,"- Business brings up IT topics in all-WS JF on Wednesday
- A process will be established to collect those topics outside of the reporting call
- First step: IT Q&A session for Business WS beginning of January",KPMG,,High,Done,17/1/2023,,"24.01. Contact Points communicated/shared again in weekly FRAME Overall WS Meeting
09.01. Business workstreams were again presented with IT org charts for direct communication",,,,
,23,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,LE Structure,High dependency on LE structure for planning purposes (scope etc.),,,,Done,,,duplicate,,,,
,24,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,Dataseparation,"Ruleset regarding Dataseparation required, incl. covering regulatory requirements. 
Related to e.g., product liability.
1. IT PL to raise issue with overlll  PL (All workstreams should have a view on data)
2. PL should delegate the issue to the appropriate workstream (e.g., legal)
3. Results should be presented/ delivered to IT workstream",IT PL,,High,Closed,2/2/2024,,"24.04.: Topic addressd to Workstreams through PvW + FRAME PL
27.03.: Topic addressed to Gerald Oberpriller
21.03.: Topic raised to Lukas Heußner in On Site Workshop
07.03.: First alignment call scheduled for today, afterwards discussion/ confirmation with Business
16.04. Multiple alignments completed",,,,
,25,18.01.24 IT All Hands WS,18/1/2024,all,General,,Issue / Open Point,Licenses,Communicate to all Sub-WS how licenses are managed during the carve-out --> JF + handbook?,KPMG,,Moderate,Closed,2/2/2024,,07.03.: Clear documentation from Sub-WS available,,,,
,26,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,WP2 Shell Copy dependency to infrastructure,Alignment between SWS2 and SWS1 regarding timelines,2 - Commercial IT incl. ERP,,Moderate,Closed,2/1/2024,3/4/2024,"WP2: Shell copy wird in 3 Schritten durchgeführt: 
1. Test auf Bosch resourcen
2. Test auf NewCo Ressourcen (best case)
3. Test auf NewCo Ressourcen (required)'now in scope for Sub-WS 2 and Sub-WS 1?

- DXC as Migration Partner is defining necessary steps and approach (shell copies etc.) based on the analysis of each SAP system line – this happens in close alignment with the data center colleagues of Bosch as it was decided on 22.02.2024 to start implementation in Bosch data center.",,,,
,27,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,DeLorean rollout,Decision Required for DeLorean Roll-Out in line with FRAME IT-Carve-out project.  --> Decision required,2 - Commercial IT incl. ERP,,High,Closed,2/1/2024,31/1/2024,"- Finish technical implementation, no roll-out
- Options are to continue as planned or to postpone DeLorean. (as planned is more of a theoretical option as the change-load during the carve-out is already maxed out)",,,,
,28,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,P27 (PDM) Ownership & Project-Staffing,PDM / P27 Separation is critical for FRAME Separation. Current team is based in engineering (Harald). Setup and staffing of a carve-out team is required as the IT know-how in BT/ETI is limited. -> ,2 - Commercial IT incl. ERP,,High,Closed,30/4/2024,,"07.03.: Covered within Sub-WS (2) WP 13, Engineering IT to participate in DXC workshops, under consideration of data entanglement",,,,
,177,OVAR IT Frame MeetUp,11/6/2024,Ovar,4a. Engineering IT,,Issue / Open Point," 
Provide ITK support for VS (Ovar) dependencies to non-FRAME organizations","ITK support with target picture after getting services/products collection which is coordinated by Andrea Cannizzaro
(E.g. Windchill PTC Creo used by VS, CO and FIRE, same permissions, database, etc)",4a. Engineering IT,,Moderate,Closed,21/6/2024,,"22.07.2024: Update outstanding, 
20.01.2025: Meeting with Andrea Cannizzaro 
27.05.2025: no actions needed
",,,,
,30,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,SAP migration partner,Most Sub-WS 2 work packages are dependent on a migration partner which is currently not contracted. ,2 - Commercial IT incl. ERP,,Critical,Done,,,"20240214: Partner selected
20240117: 'Proposals received by SWS2.
202401xx:Shortlisting
",,,,
,93,IT 2024-03-21,21/3/2024,all,1 - IT Infrastructure,,Issue / Open Point,"initial Domain-Names 
-> Aktion mit ""Platzhalternamen"" ","Bestätigung von NewCo Management, auf Basis von Vorschlägen ",IT PL,,Moderate,Closed,2/5/2024,,NewCo name is known keenfinity,,,,
,32,18.01.24 IT All Hands WS,18/1/2024,all,3 - Other Applications,,Issue / Open Point,Requirements from IT Sub-WS 3 to BGSW,Document Other Apps demands to an external service provider (post-closing and during carve-out). Requirements will be aligned with BGSW in CW5,IT PL,,Moderate,Done,29/1/2024,,"14.02.2024: India/BGSW discussion took place 
25.01.2024: confirmed by Andi Baur",,,,
,33,18.01.24 IT All Hands WS,18/1/2024,all,4a. Engineering IT,,Issue / Open Point,FOSS tracking in Engineering ,Who is managing FOSS for Frame products. Discuss with PL.,IT PL,,Moderate,Done,,,07.03.: Result of alignment call: Harald to define types of applications with support of BD FOSS expert,,,,
,189,IT weekly JF,27/6/2024,All,General,,Issue / Open Point,"""Firmierungs-Änderung""",How is it communicated to the business and NewCo management that names in domains are partially final? ,,,Low,Closed,,,,"Domain Names etc. confirmed/updated post signing and implemented accordingly (e,g. keenfinity-group.com)",,,
,35,18.01.24 IT All Hands WS,18/1/2024,all,4b. Production IT,,Issue / Open Point,Telephony in plants,Check what telephony solutions are used in production facilities. ,4b. Production IT,,Moderate,Done,,,"now in scope for Sub-WS 4 and Sub-WS 1?
07.03.: alignment agreement: Sub-WS 1",,,,
,36,18.01.24 IT All Hands WS,18/1/2024,all,General,,Issue / Open Point,Project Reference lists,"Identify required central lists, and propose ownership ",IT PL,,High,Done,,,"--> IT JF/ JF - 
25.01.2024: LE und Location Lists established and shared in IT JF
pending; Cap-Map, etc ",,,,
,37,18.01.24 IT All Hands WS,18/1/2024,all,6 - IT Organization & Processes,,Issue / Open Point,BGSW/SDS Location,Check where BGSW/SDS is operating.,Thomas Büttner,,Low,Closed,2/2/2024,,*15.02.2024 regular exchange with BGSW,,,,
,31,18.01.24 IT All Hands WS,18/1/2024,all,2 - Commercial IT incl. ERP,,Issue / Open Point,Special systems in place for regional regulations,"China, India, Mexico, Brazil: Special topics due to regional regulations. Raise this to PL and collect the requirements from Business-WS",IT PL,,High,Done,3/4/2024,,"13.11.2024: Brazil dedicaed solution, other small countries BPO solution, covering all local requirements
11.1.2024 -> To be covered in next Steering with SWS2
27.03.2024 -> dedicated session to be planned with Sub-WS 2",,,,
,39,18.01.24 IT All Hands WS,18/1/2024,all,6 - IT Organization & Processes,,Issue / Open Point,Alignment MoB,???,,,,Done,,,14.02.2024 - subject to 21.02.2024 workshop,,,,
,40,18.01.24 IT All Hands WS,18/1/2024,all,6 - IT Organization & Processes,,Decision,Future IT functions allocations ( BUs - central IT),"Decide with NewCo GF where Special logistics, Manufacturing IT (focus), Engineering IT/ Product IT will be located",6 - IT Organization & Processes,,High,Done,,,18.01.25: Which manufacturing IT services are brought externally  ,,,,
,68,IT WS (21.02.),21/2/2024,all,1 - IT Infrastructure,,Dependency,Location List,Action to all to review the Location List provided by IT Infrastructure,All,,Moderate,Closed,29/2/2024,,03.04.: Direct connection between Infra and GTM/FCM,,,,
,166,IT WS KPMG MUC,5/6/2024,all,4b. Production IT,,Issue / Open Point,DOT as Test Enviorment for the new AD,"- Detailed coordination required between SWS4b and SWS1 regarding testing
- Use of DOT as a test environment for the AD in SWS1
- Involvement of Falco Rutten and Chris Schneider in the testing process",4b. Production IT,1 - IT Infrastructure,High,Closed,1/5/2025,,"3/3/2025: Thomas Brosig: alignment with IAM initiated; 04.03.2025 meeting
20.11.2024:
- Brosig, Thomas: considered in Implementation Plan, testing instance provided
13.11.2024:
- [Brosig Thomas]: not yet fully known",,x,,
,59,Eindhoven Visit,2/8/2024,Eindhoven,General,,Issue / Open Point,Sofia as FRAME Location,Decision required whether Sofia is just a shared service center or a dedicated Frame location -> Overall Project Lead,IT PL,,Moderate,Closed,16/2/2024,,Sofia is External Location,,,,
,44,18.01.24 IT All Hands WS,18/1/2024,all,General,,Issue / Open Point,Direct 2 Customer (D2C) capability,Communicate to NewCo Management/Procect-Leadership that this can only be implemented post-closing as it is not in line with guiding principles.,2 - Commercial IT incl. ERP + ITPL,,high,Done,,1/2/2024,Cloud Onboarding is normal Process within Bosch and needs to be launched for any new cloud solution. ,,,,
,45,Email,1/11/2024,all,General,,Issue / Open Point,Planisware planning,Each Sub-WS is to define their required phase for planisware.,Sub-WS Leads,,Moderate,Done,31/1/2024,,"14.02.2024: Decision- one phase per each sub-WS
Suggestion is to define one phase per Sub-WS, except for Sub-WS 1 and Sub-WS 2.
-> Ressources: All SWS (except SWS2): 
plan required BD Ressources for 2024
-> SWS2: Assumption: BD largely already planned for BT in Plannisware -> Reprioritisation to FRAME 
+ Additional Needs to be planned per WP",,,,
,46,weekly Jour Fixe,25/1/2024,all,General,,Issue / Open Point,BD support,How can the right BD support be identified (the right skills/individual)?,IT PL,,Moderate,Closed,2/1/2024,25/2/2024,"25/02/2024 - Communicated in JF, that Teams are empowered to onboard known internal BD ressources directly, if individuals not known, BD Christian Ruf can supprt to identify right profiles/organisation",,,,
,47,weekly Jour Fixe,25/1/2024,all,2 - Commercial IT incl. ERP,,Decision,PT3 compliance system ownership,New Owner of PT3 compliance system (replacement solution needed),4a. Engineering IT,,Moderate,Closed,2/1/2024,,"12.03.: Is part of Work Package 2 within Sub-WS2, supported by Engineering IT",,,,
,10,Generell Kick-off,27/11/2023,all,General,,Issue / Open Point,"""Hotel functions""",Check if there are  areas/services from the various departments (including IT) that are made available to third parties or from third parties,All,,Moderate,Closed,15/1/2024,,,Has been considered in entanglement analysis and integrated progressively in case of new dependencies by respective overall Frame workstreams and/or by parallel Build-Project.,,,
,49,weekly Jour Fixe,25/1/2024,all,2 - Commercial IT incl. ERP,,Decision,Hiring fasttrack,Trigger internal hiring in BT/BD where we have glaring gaps. How to fasttrack the hiring process?,6 - IT Organization & Processes,,Moderate,Closed,2/1/2024,,"24.04.:critical positions in decision and recruitment process. HR remains bottleneck, but no dedicated open point required. 
14.03.: Hiring process --> no support (e.g. pre-selection) by HR, meeting scheduled
07.03.: First roles already hired
",,,,
,50,weekly Jour Fixe,25/1/2024,all,3 - Other Applications,,Issue / Open Point,Access & Identity Management Concept,Alignment with DSO required to define a right-sized concept,2 - Commercial IT incl. ERP + ITPL,,Moderate,Done,2/1/2024,,"14.02.2024: DSO involved in ""Deep Dives""",,,,
,51,Mail from Dietmar Walter on 29.01.2024,29/1/2024,all,1 - IT Infrastructure,,Decision,Infrastructure serviceprovider and project partner,Decision for a future Infrastructur Serviceprovider and Project partner for FRAME,NewCo Management,,Moderate,Closed,2/1/2024,,"
25.04. presented in New-Co Managemed, Final Decision will be endorsed in next meeting on Monday 29th. ",,,,
,52,Infra. Jour Fixe,2/6/2024,all,1 - IT Infrastructure,,Issue / Open Point,Communication WAN/LAN timeline,Awareness in front of Oberpriller/Project of the necessary timeline for the WAN/LAN set-up - at least 6 months are needed,,,Moderate,Done,16/2/2024,,Presentation slot with Mr Oberpriller planned,,,,
,53,weekly Jour Fixe,2/8/2024,all,1 - IT Infrastructure,,Issue / Open Point,Engineering WAN,Engineering WAN is managed autonomously by FRAME Engineering - remaining dependencies from Bosch need to be listed/precised ,4a. Engineering IT,,Moderate,Closed,16/2/2024,,see line 21,,,,
,43,18.01.24 IT All Hands WS,18/1/2024,all,General,,Issue / Open Point,Align with PL on communication strategy,"IT Sub-WS (e.g., infrastructure) will have to communicate to end users. It is unclear if there is an overall process and who owns it.",IT PL,,High,Done,15/9/2024,15/9/2024,"9/15/2024 -> Overall Communication Structure has been set-up, Link to IT established
7/22/2024 - > Communication Stream identified as key Stakeholder, Regular Sessions to be set-up from September onwards",,,1/11/2024,
,48,weekly Jour Fixe,25/1/2024,all,2 - Commercial IT incl. ERP,,Decision,GDPR ILM CRM ,GDPR ILM CRM rollout -> to be planned and delivered in the BUILD project,IT PL,,Moderate,Done,2/1/2024,,"13.11.2024 BUILD takes care,, no activity required in FRAME
4.02.2024 - Decision taken ? ",,,,
,56,weekly Jour Fixe,2/8/2024,all,General,,Issue / Open Point,Info Sourcing,Communication to the various departments that IT related sourcing is only possible after involvement/approval from IT,PMO,,Moderate,Closed,16/2/2024,,,,,,
,135,IT WS Bad Kohlgrub,18/04/2024,all,General,,Issue / Open Point,Production: Certificate on Products,"- what changes are required to secure all processes around certificates on products
> objective: confirm assumption, that no change for IT WS  ",4b. Production IT,Daniel Bastos+ SWS 8,High,Closed,25/4/2024,,"- 6/30/2025: Topic handed over to KF via Production Handover
- 5/26/2025, Brosig: ongoing, first steps taken
3/3/2025: Thomas Brosig: task belongs to WS R&D
20.11.2024:
- Brosig, Thomas: ongoing until 01.03.2025 here, IT change in normal concept, belongs to WS R&D (SWS8)
13.11.2024:
- [Brosig Thomas]: Point 135 is driven by the R&D WS; there will be changes to the existing standard framework of IT. So target probably missed, but still valid, so open?

[Previous comment:]
Production and Engineering working out the details-to be reminded 
- [Brosig Thomas (BT/MFC)] With WS R&D: Daniel Bastos yet to provide new solution for managing Certificates etc. Assumption, FIR’s approach to be continued. EB’s approach to be confirmed. Sub-WS Infrastructure, IT Security, OT Security to evaluate before mentioned approach vs. upcoming changes in Infrastructure, realization of potentially new requirements.
- [Brosig Thomas (BT/MFC)] Regular meetings set-up with Daniel ABstos and MP representaives including aspects of Contract Manufacturing",,x,,
,58,Eindhoven Visit,2/8/2024,Eindhoven,4a. Engineering IT,,Issue / Open Point,Special demands for IT requirements ," -> to be clarified towards IT Workstream
o Nürnberg (firmware development), 
o Hildesheim (artificial intelligence team of 34 people), 
o Lancaster, 
o Berlin
o Taipei (external partner for camera design)",4a. Engineering IT,,Moderate,Done,16/4/2024,,"28.03.2024 - 
Site Visits (Nürnberg, Hildesheim) already took place (Infra)
Lancaster/Fairport planned (Eva) 
Toolchain Fairport, Taipeh are the same (analysi by BEG)
- 06.05.24: Part of the as is analyis ",,,,
,139,IT WS Bad Kohlgrub,18/04/2024,all,General,,Issue / Open Point,Accountabilities in WS IT:Commercial IT extern,"How is Run and Build working with externals in the future ?
-> Info to WP Leads required",2 - Commercial IT incl. ERP,SWS 6,Moderate,Done,25/4/2024,,"24.02.2025: Discussion with SDS to contract BD ressources in progress
28.11.2024: internal product teams, contracting of key BD resources, externals where needed",,,,
,60,Eindhoven Visit,2/8/2024,Eindhoven,4a. Engineering IT,,Issue / Open Point,Application Transition Planning,detailed planning of transition of engineering tools and applications so that it can be fit in the planning of engineering departments.,4a. Engineering IT,,Moderate,Closed,16/2/2024,,"Together with Sub-Workstream 3, normal project work
28.03.2024 - closed",,,,
,57,Eindhoven Visit,2/8/2024,Eindhoven,General,,Issue / Open Point,Aviotek Camera data,"Aviotek camera data to be used by FRAME and FIR; separation of data necessary
-> topic to be allocated to right (sub)-Workstream",IT PL,,Moderate,Done,15/6/2024,15/6/2024,06/2024 -> addressed in R&D stream,,,1/11/2024,
,171,IT WS KPMG MUC,5/6/2024,all,1 - IT Infrastructure,,Dependency,AD-Implications on other apps (SWS 3),"Clear defintion on timeline impact without of the active directory in place ""on time""",3 - Other Applications,1 - IT Infrastructure,Moderate,Closed,14/6/2024,,22.07.2024: Update outstanding,"Active Directory timeline regularly communicated to all stakeholders, not limited to SWS3.",x,,
,63,KPMG ,13/2/2024,all,7 - IT Contracts & Licenses,,Issue / Open Point,Contracts & Assets,when will we need an overview regarding assets and contracts (incl. BT contracts),7 - IT Contracts & Licenses,,Moderate,Done,16/2/2024,,"04.03.2024 ABr: Expectation towards 7 regarding ""asset Management"" not clear, discuss in JF ",,,,
,64,Overall Project JF,14/2/2024,all,General,,Issue / Open Point,QM Tools,Abgleich mit Quality Management bzgl Übernahme / Ersatz von Applikationen,3 - Other Applications,,Moderate,Closed,16/2/2024,,"04.03.2024 ABr: Communication with QMM done, considered in seperation object list, RfD for target architecture in work ",,,,
,65,IT WS (21.02.),21/2/2024,all,1 - IT Infrastructure,,Issue / Open Point,Dates for initial decision,"Dates with Management to be set for WAN Decisions, Big Location Lists (for Hubs, etc.) -> Target Date for end of March 2024",1 - IT Infrastructure,,Moderate,Done,29/2/2024,,07.03.: Dates set,,,,
,62,Eindhoven Visit,2/8/2024,Eindhoven,General,,Issue / Open Point,Eindhoven Field Service Tasks,"Get decision from FRAME how these services will be delivered in the future.
To be adressed to FRAME Management (through IT WS Leads)",6 - IT Organization & Processes,,Moderate,Done,16/2/2024,,"02.12.2024: CapGemini as fall back, Panf initiated, ",,x,,
,66,IT WS (21.02.),21/2/2024,all,1 - IT Infrastructure,,Issue / Open Point,Active Directory Dependency,Small workshop to be organized by IT Infrastructure around Active Directory (with impact on applications in different phases of implementation & user experience),1 - IT Infrastructure,,Moderate,Done,31/5/2024,,"22.07.2024: Planung der AD Implementierung abgeschlossen und bereits gestartet. Synch mit SWS3 ausstehend
potentially to be included in next IT WS, erst nach Name und dann die Planung",,,,
