#,Resource Group,Organization,Category,Primary Role,Phase 1 (Init),Phase 2 (Concept),Phase 3 (Dev),Phase 4 (Impl),Phase 5 (GoLive),Phase 6 (Stabilization),Approx Task Count,Peak Phase,Key Responsibilities
1,Steering Committee,Bosch + JCI,Governance,Project oversight and quality gate approvals,H,H,H,H,H,H,12,All Phases,"Approve QG1–QG6; authorize key decisions; sign-off on charter, architecture, cutover plan, hypercare close, and project closure"
2,IT PM,Shared (Bosch-led),PMO,Overall IT project management and coordination,M,H,M,H,H,H,19,Phase 4,"Cross-workstream coordination; OPL management; risk tracking; cutover plan; Day 1 readiness; TSA governance; project closure"
3,PMO,Shared,PMO,Project management office operations,M,M,L,-,-,-,3,Phase 1–2,"PMO tool setup; SharePoint collaboration site; OPL establishment"
4,KPMG,External,Consulting Partner,IT carve-out methodology and workstream support,H,H,H,M,-,L,25,Phase 2,"Governance model; project charter; as-is analysis; migration strategy; application wave planning; risk register; detailed project plan; lessons learned"
5,Bosch IT PM,Bosch,IT Leadership,Bosch IT project leadership and sponsor liaison,H,M,-,-,-,-,5,Phase 1,"Appoint IT project leads; high-level landscape assessment; project charter; guiding principles workshop"
6,Bosch CIO,Bosch,Executive,Bosch executive IT sponsor,L,-,-,-,-,-,1,Phase 1,Appoint Bosch IT Project Lead
7,Bosch Senior Management,Bosch,Executive,Steering and governance sponsorship,M,-,-,-,-,-,2,Phase 1,"Establish Steering Committee; guiding principles workshop"
8,Executive Leadership,Bosch + JCI,Executive,Final decision authority for closing and Day 1,L,-,-,M,H,H,6,Phase 4–5,"SPA/APA signing; Day 1 legal transfer; TSA exit confirmation; final project sign-off"
9,Bosch IT Architects,Bosch,IT Architecture,Merger Zone architecture design and Bosch integration planning,L,H,L,-,-,M,5,Phase 2,"Merger Zone concept; WAN/LAN architecture; Merger Zone-to-Bosch migration strategy; Bosch environment preparation for integration"
10,Bosch Infra,Bosch,IT Infrastructure,Infrastructure build and migration execution,-,M,H,H,M,M,18,Phase 3,"Co-locator selection; server build (3 regional DCs); LAN/WiFi setup; file share infrastructure; backup; WAN cutover support; file share migration; network integration to Bosch backbone"
11,Bosch AD Team,Bosch,IT Infrastructure,Active Directory design and build,-,M,H,-,-,-,2,Phase 3,"AD design (Merger Zone); AD build; foundation for 6000+ client and application migrations"
12,Bosch Azure Team,Bosch,Cloud / M365,M365 tenant design build and migration,-,M,M,H,-,M,6,Phase 4,"M365 tenant design; M365 provisioning (6000+ mailboxes); email and mailbox migration; OneDrive migration; M365 tenant migration to Bosch M365"
13,Bosch Cloud Team,Bosch,Cloud,Azure and cloud environment setup,-,-,L,-,-,-,1,Phase 3,Azure and cloud environment setup in Merger Zone
14,Bosch Telecom,Bosch,Telephony,Telephony setup and cutover,-,-,M,M,-,-,2,Phase 3–4,"Telephony setup for Merger Zone (180 sites); telephony cutover to Merger Zone; note: 4–8 week lead time per operator"
15,Bosch SAP / ERP Team,Bosch,ERP,SAP development test and go-live in Merger Zone,-,M,H,H,M,M,10,Phase 3,"SAP shell copy preparation; authorization concept; BW/reporting setup; SIT1/SIT2; UAT; Day 1 ERP go-live activation; ERP integration with Bosch systems"
16,Bosch BW Team,Bosch,ERP / Analytics,BW and reporting setup,-,-,L,-,-,-,1,Phase 3,BW and reporting setup in Merger Zone
17,Bosch IAM Team,Bosch,IT Security / IAM,Identity and Access Management design and deployment,-,M,H,-,-,M,4,Phase 3,"IAM/IdM architecture design; IAM solution deployment (identity provider); Bosch AD integration and identity federation"
18,Bosch CISO,Bosch,IT Security,Security architecture and compliance,-,M,M,-,-,-,3,Phase 2–3,"Security architecture design; IT security concept finalization; OT security assessment oversight"
19,Bosch CWP Team,Bosch,Client Workplace,Client device strategy preparation and migration,-,M,H,H,-,M,10,Phase 3–4,"Client migration approach (reimaging vs in-place); software management setup (SCCM/Intune); device packaging (~6000 devices); regional wave plan; user profile/OneDrive tooling; client re-migration to Bosch domain"
20,Bosch ITSM Team,Bosch,ITSM,CMDB and ServiceNow setup and configuration,-,-,M,-,-,-,2,Phase 3,"CMDB setup (ServiceNow) for 6000 assets; ServiceNow configuration"
21,Bosch IT Org Team,Bosch,IT Organisation,Bosch IT operating model and org design,-,-,M,-,-,-,3,Phase 3,"Bosch IT org structure (8000 employees / 180 sites); regional IT leads for AP/AM/EMEA; MSP/ITO contracting for field support"
22,Bosch IT Ops / Help Desk,Bosch,IT Operations,Help desk staffing operations and hypercare support,-,-,M,M,H,M,7,Phase 5,"Help desk setup and staffing (multilingual 24x5); Day 1 24x7 help desk activation; incident management; performance monitoring; hypercare operations"
23,Bosch HR,Bosch,HR / IT,HR and IT organisational alignment,-,L,L,-,-,-,2,Phase 2–3,"HR IT systems mapping; Bosch IT org structure definition (8000 employees)"
24,Bosch Procurement,Bosch,Procurement,Vendor selection and contracting,-,M,M,M,-,-,6,Phase 3,"Co-locator and data center selection; WAN provider ordering; MSP/ITO contracting; change of control notifications to vendors; license transfer agreements"
25,JCI CIO,JCI,Executive,JCI executive IT sponsor,L,-,-,-,-,-,1,Phase 1,Appoint JCI IT Project Lead
26,JCI IT PM,JCI,IT Leadership,JCI IT project leadership,M,-,-,-,-,-,1,Phase 1,Joint IT project leadership with Bosch IT PM during Initialization
27,JCI Senior Management,JCI,Executive,JCI steering governance and guiding principles,M,-,-,-,-,-,1,Phase 1,"Establish Steering Committee; guiding principles workshop"
28,JCI IT (General),JCI,IT Operations,IT landscape owner and TSA service provider,H,H,H,H,H,H,18,All Phases,"IT landscape assessment; as-is analysis input; TSA service descriptions; TSA activation Day 1; JCI operates all IT for Bosch during 18-month TSA; TSA exit coordination"
29,JCI IT Architects,JCI,IT Architecture,JCI application and dependency mapping,-,M,L,-,-,-,3,Phase 2,"Application landscape inventory (~500 apps); IT dependency identification; JCI shared services mapping"
30,JCI Infra Team,JCI,IT Infrastructure,JCI infrastructure information and WAN cutover support,-,M,-,M,-,-,4,Phase 2 / 4,"IT infrastructure as-is mapping (180 sites); WAN cutover support (hub sites and remaining sites)"
31,JCI ERP Team,JCI,ERP,JCI ERP landscape analysis input,-,M,-,-,-,-,2,Phase 2,"ERP landscape analysis (SAP and non-SAP); FRAME-comparable SAP landscape documentation"
32,JCI HR IT,JCI,HR IT,JCI HR systems mapping,-,L,-,-,-,-,1,Phase 2,"HR IT systems mapping for ~8000 employees; country-by-country HR rules"
33,JCI OT + Production IT,JCI,OT / Production,OT and production IT assessment,-,L,-,-,-,-,1,Phase 2,OT and production IT assessment across 180 sites
34,JCI Procurement,JCI,Procurement,Contract and license inventory,-,M,-,-,-,-,2,Phase 2,"Contract and license inventory; change of control clause review; ~6000 device license data"
35,JCI TSA Team,JCI,TSA Management,TSA governance and knowledge transfer,- ,-,-,-,M,H,5,Phase 5–6,"TSA monthly service reviews; knowledge transfer to Bosch (runbooks / processes / documentation); TSA exit wave coordination"
36,KPMG (ERP / App Stream),External,Consulting,ERP migration strategy and application wave planning,-,H,H,M,-,-,8,Phase 2–3,"ERP migration strategy (relocation vs split vs greenfield); application categorisation (~500 apps); wave planning; migration packages; ERP integration testing support"
37,Migration Partner (ERP),External,SI / Migration,SAP migration technical execution,-,-,H,H,-,-,5,Phase 3–4,"SAP shell copy preparation and execution (test and production); SIT1/SIT2 execution; migration partner leads technical SAP carve-out"
38,WAN Provider,External,Telecoms,WAN ordering and implementation (180 sites),-,-,H,H,-,-,9,Phase 3–4,"WAN provider selection and ordering (4–6 month lead time); WAN implementation for EMEA/AP/AM sites; WAN cutover for all 3 regions in batches"
39,App Teams / SWS3,Mixed (Bosch + JCI),Application,Application migration preparation and execution,-,-,H,H,M,M,16,Phase 3–4,"Application grouping into migration waves; migration package development; custom app adaptation; Wave 1/2/3 application migrations to Merger Zone; Wave 1/2/3 migration from Merger Zone to Bosch"
40,Integration Team,Mixed,IT / Development,API and interface development,-,-,M,-,-,-,2,Phase 3,"EDI and integration setup; API and interface development for Merger Zone"
41,Dev Teams,JCI / Mixed,IT Development,Custom application adaptation,-,-,L,-,-,-,1,Phase 3,Custom application adaptation for Merger Zone
42,OT Security Team,Bosch / Mixed,OT Security,OT security assessment and remediation,-,-,M,-,-,-,1,Phase 3,OT security assessment and remediation across production sites
43,Co-Locator Partners (3 Regions),External,Data Center,Regional data center provision (AP / AM / EMEA),-,M,H,-,-,-,3,Phase 3,"Co-locator selection and procurement; data center build in 3 regional hubs (AP + AM + EMEA); server infrastructure hosting"
44,MSP / ITO (Field Support),External,Field IT Support,On-site IT support for 180 sites,-,-,M,M,H,H,3,Phase 5–6,"MSP/ITO contracting; on-site support for AP and AM sites; 24x7 multilingual help desk multilingual escalation"
45,Regional IT Leads (AP / AM / EMEA),Bosch,Regional IT,Regional coordination and country-specific requirements,-,M,-,H,H,M,8,Phase 4–5,"Country-specific IT requirements (Brazil/China/India/Mexico); regional client migration wave execution; Day 1 go-live communication; regional standup cadence during hypercare"
46,AP IT Team,Bosch (AP Region),Regional IT,Asia Pacific client device migration,-,-,-,H,-,-,2,Phase 4,"Client Migration Wave 1 (~900 AP hub devices); Wave 4 (~1500 AP remaining devices)"
47,AM IT Team,Bosch (AM Region),Regional IT,Americas client device migration,-,-,-,H,-,-,2,Phase 4,"Client Migration Wave 2 (~900 AM hub devices); Wave 5 (~1500 AM remaining devices)"
48,EMEA IT Team,Bosch (EMEA Region),Regional IT,EMEA client device migration,-,-,-,M,-,-,1,Phase 4,"Client Migration Wave 3 (~700 EMEA devices)"
