Project Hamburger - Draft IT Cost Plan
Generated: 2026-04-03 | Based on: Hamburger_Project_Schedule.csv (107 tasks / 6 phases) | Risk-aligned: Hamburger_Risk_Register.xlsx
Scope: Robert Bosch GmbH (Seller) -> Undisclosed Buyer | Stand Alone model | No Merger Zone | 17 worldwide sites | 2600 IT users
Assumptions: 8 hrs/day; costs are fully-loaded labour only (excl. hardware / co-lo lease / WAN circuits / software licences / travel); shared tasks charged to each assigned resource in full; 0-day milestones = 0 hrs
Budget baseline: TBC - to be approved at QG1
,,,,
CATEGORY,RESOURCE,TOTAL DAYS,TOTAL HRS,HOURLY RATE (EUR),TOTAL COST (EUR)
,,,,
--- GOVERNANCE / PMO ---,,,,,
,Erik Ho (BD/MIL-ICC),295,2360,180,"424,800"
,IT PM,60,480,180,"86,400"
,PMO,25,200,180,"36,000"
,Steering Committee (active tasks only),10,80,180,"14,400"
,SUBTOTAL - Governance / PMO,390,3120,180,"561,600"
,,,,
--- BOSCH IT TEAM (Seller) ---,,,,,
,Bosch IT PM,40,320,120,"38,400"
,Bosch IT Architects,95,760,120,"91,200"
,Bosch CIO,10,80,120,"9,600"
,Bosch Infra,185,1480,120,"177,600"
,Bosch AD Team,75,600,120,"72,000"
,Bosch Azure Team,120,960,120,"115,200"
,Bosch Cloud Team,30,240,120,"28,800"
,Bosch Telecom,40,320,120,"38,400"
,Bosch ERP / SAP Team,165,1320,120,"158,400"
,Bosch IAM Team,60,480,120,"57,600"
,Bosch CISO,55,440,120,"52,800"
,Bosch CWP Team,90,720,120,"86,400"
,Bosch HR IT,25,200,120,"24,000"
,Bosch Procurement,60,480,120,"57,600"
,Bosch IT Ops / Help Desk,120,960,120,"115,200"
,Solar IT PM,40,320,120,"38,400"
,SUBTOTAL - Bosch IT Team,1210,9680,120,"1,161,600"
,,,,
--- BUYER / SOLAR TEAM ---,,,,,
,Buyer IT (ramp-up and onboarding),60,480,100,"48,000"
,Buyer IT Architects,30,240,100,"24,000"
,Solar Senior Mgmt,15,120,100,"12,000"
,SUBTOTAL - Buyer / Solar Team,105,840,—,"84,000"
,,,,
--- EXTERNAL PARTNERS ---,,,,,
,Migration Partner (ERP / SAP),110,880,90,"79,200"
,WAN Provider + Bosch Infra,140,1120,90,"100,800"
,System Integrator (Global Sites),200,1600,90,"144,000"
