Project AlphaX - Draft IT Cost Plan
Generated: 2026-04-01 | Based on: AlphaX_Project_Schedule.csv (167 tasks / 5 phases)
Scope: Bosch Battery Division -> NewCo Battery | Stand Alone model | No Merger Zone
Assumptions: 8 hrs/day; costs are fully-loaded labour only (excl. hardware / co-lo lease / WAN circuits / software licences / travel); shared tasks charged to each assigned resource in full; 0-day milestones = 0 hrs
,,,,
CATEGORY,RESOURCE,TOTAL DAYS,TOTAL HRS,HOURLY RATE (EUR),TOTAL COST (EUR)
,,,,
--- GOVERNANCE / PMO ---,,,,,
,AlphaX IT PM,290,2320,180,"417,600"
,PMO,20,160,180,"28,800"
,Steering Committee (active tasks only),5,40,180,"7,200"
,SUBTOTAL - Governance / PMO,315,2520,180,"453,600"
,,,,
--- BOSCH IT TEAM (Seller) ---,,,,,
,Bosch IT PM,25,200,120,"24,000"
,Bosch IT Architects,85,680,120,"81,600"
,Bosch Infra,265,2120,120,"254,400"
,Bosch AD Team,50,400,120,"48,000"
,Bosch Azure Team,120,960,120,"115,200"
,Bosch Cloud Team,25,200,120,"24,000"
,Bosch Telecom,55,440,120,"52,800"
,Bosch ERP / SAP Team,220,1760,120,"211,200"
,Bosch IAM Team,75,600,120,"72,000"
,Bosch CISO,45,360,120,"43,200"
,Bosch CWP Team,105,840,120,"100,800"
,Bosch ITSM Team,55,440,120,"52,800"
,Bosch IT Org / HR,20,160,120,"19,200"
,Bosch Procurement,70,560,120,"67,200"
,Bosch IT Ops / Help Desk,130,1040,120,"124,800"
,Bosch IT + NewCo (joint tasks),95,760,120,"91,200"
,SUBTOTAL - Bosch IT Team,1440,11520,120,"1,382,400"
,,,,
--- NEWCO BATTERY TEAM (Buyer / NewCo) ---,,,,,
,NewCo Management,30,240,120,"28,800"
,NewCo IT (ramp-up and onboarding),80,640,100,"64,000"
,NewCo IT Architects,40,320,100,"32,000"
,SUBTOTAL - NewCo Battery Team,150,1200,—,"124,800"
,,,,
--- EXTERNAL PARTNERS ---,,,,,
,KPMG,260,2080,90,"187,200"
,Migration Partner (ERP / SAP),90,720,90,"64,800"
,WAN Provider + Bosch Infra,175,1400,90,"126,000"
,SUBTOTAL - External Partners,525,4200,90,"378,000"
,,,,
--- CROSS-FUNCTIONAL TEAMS ---,,,,,
