Project Falcon - Draft IT Cost Plan
Generated: 2026-04-02 | Based on: Falcon_Project_Schedule.csv (96 tasks / 5 phases) | Risk-aligned: Falcon_Risk_Register.xlsx (16 risks)
Scope: BGSW AI Business Carve-Out into 50/50 JV | Combination Model (Carver + JV) | 3 India Sites
Assumptions: 8 hrs/day; costs are fully-loaded labour only (excl. hardware / cloud services / software licences); shared tasks charged to each assigned resource in full; 0-day milestones = 0 hrs
,,,,
CATEGORY,RESOURCE,TOTAL DAYS,TOTAL HRS,HOURLY RATE (EUR),TOTAL COST (EUR)
,,,,
--- GOVERNANCE / PMO ---,,,,,
,Falcon Project Lead (Bosch BD/MIL),185,1480,180,"266,400"
,PMO,15,120,180,"21,600"
,Steering Committee (active tasks),3,24,180,"4,320"
,SUBTOTAL - Governance / PMO,203,1624,180,"292,320"
,,,,
--- BOSCH BD/MIL TEAM (Seller / Carver) ---,,,,,
,Bosch BD/MIL PM,20,160,120,"19,200"
,Bosch BD/MIL Architects,45,360,120,"43,200"
,SUBTOTAL - Bosch BD/MIL,65,520,120,"62,400"
,,,,
--- BGSW IT TEAM (Seller) ---,,,,,
,BGSW IT PM,35,280,100,"28,000"
,BGSW IT Architects,50,400,100,"40,000"
,BGSW Infra Team,95,760,100,"76,000"
,BGSW AD Team,35,280,100,"28,000"
,BGSW Azure Team,55,440,100,"44,000"
,BGSW Cloud Team,25,200,100,"20,000"
,BGSW CISO,40,320,100,"32,000"
,BGSW HR IT,10,80,100,"8,000"
,BGSW Procurement,25,200,100,"20,000"
,BGSW IT Ops / Help Desk,45,360,100,"36,000"
,BGSW CWP Team,35,280,100,"28,000"
,BGSW IT (joint tasks),65,520,100,"52,000"
,SUBTOTAL - BGSW IT Team,515,4120,100,"412,000"
,,,,
--- JV IT TEAM (Buyer / NewCo) ---,,,,,
,JV Management,25,200,100,"20,000"
,JV IT Leads (India-based),40,320,80,"25,600"
,SUBTOTAL - JV IT Team,65,520,90,"46,800"
,,,,
--- EXTERNAL PARTNERS ---,,,,,
,Legal (Carver + JV contracts),50,400,90,"36,000"
,Finance (JV structure & budgeting),15,120,90,"10,800"
,Bosch BD/MIL + BGSW (cross-functional),95,760,90,"68,400"
,SUBTOTAL - External Partners,160,1280,90,"115,200"
,,,,
