ID,Outline Level,Name,Duration,Start,Finish,Predecessors,Resource Names,Notes,Milestone
1,1,Phase 1 - Initialization,65 days,07/01/26,09/30/26,,Bosch IT + JCI IT + KPMG,,No
2,2,1.1 Project Setup and Governance,20 days,07/01/26,07/28/26,,Bosch IT PM + JCI IT PM,,No
3,3,Appoint IT Project Leads (Bosch and JCI),10 days,07/01/26,07/14/26,,Bosch CIO + JCI CIO,,No
4,3,Establish Steering Committee,10 days,07/07/26,07/20/26,3,Bosch + JCI Senior Mgmt,,No
5,3,Define RACI and Governance Model,10 days,07/07/26,07/20/26,3,KPMG + IT PM,,No
6,3,Set Up PMO Tools and SharePoint Collaboration Site,15 days,07/14/26,08/03/26,3,PMO + KPMG,,No
7,3,Onboard External Consulting Partner,20 days,07/14/26,08/10/26,3,Procurement,,No
8,2,1.2 Initial IT Landscape Assessment,35 days,07/21/26,09/08/26,3,JCI IT + Bosch IT,180 sites across AP/AM/EMEA; AP and AM are the largest regions,No
9,3,High-Level IT Inventory Request to JCI,10 days,07/21/26,08/03/26,5,Bosch IT PM,,No
10,3,Location List - 180 Sites (AP / AM / EMEA),20 days,07/28/26,08/24/26,9,JCI IT + Facilities,AP and AM sites prioritised; collect full addresses and site types,No
11,3,Legal Entity Identification (All Regions),20 days,08/03/26,08/28/26,9,Legal + Finance,,No
12,3,Identify Key IT Dependencies and JCI Shared Services,25 days,08/10/26,09/11/26,10,JCI IT Architects,,No
13,2,1.3 Project Charter and Scope Definition,25 days,08/17/26,09/18/26,8,Bosch IT PM + KPMG,,No
14,3,Draft Project Charter,15 days,08/17/26,09/04/26,8,KPMG + Bosch IT PM,,No
15,3,Define Initial Scope Boundaries,15 days,08/24/26,09/11/26,10,KPMG + JCI IT,~8000 employees; ~6000 IT client devices; FRAME-comparable IT/ERP landscape,No
16,3,Guiding Principles Workshop (Bosch and JCI),5 days,09/01/26,09/05/26,14,All WS Leads,,No
17,3,TSA Framework Preliminary Definition (18-Month TSA),10 days,09/01/26,09/12/26,14,Legal + IT PM,JCI operates all IT for Bosch during 18-month TSA period,No
18,3,Project Charter Approval,5 days,09/15/26,09/19/26,"14,15,16,17",Steering Committee,,Yes
19,2,QG1 - Initialization Quality Gate,0 days,09/30/26,09/30/26,18,Steering Committee,All deliverables signed off; project charter approved; proceed to Concept,Yes
20,1,Phase 2 - Concept,130 days,10/01/26,03/31/27,19,All Workstreams + KPMG,,No
21,2,2.1 Detailed As-Is Analysis,60 days,10/01/26,12/23/26,19,JCI IT + KPMG,,No
22,3,Application Landscape Inventory (LeanIX / CMDB) ~500 Apps,40 days,10/01/26,11/26/26,19,JCI IT Architects + KPMG,Comparable to FRAME; use LeanIX as master landscape tool,No
23,3,IT Infrastructure As-Is Mapping (180 Sites),40 days,10/01/26,11/26/26,19,JCI Infra Team,Site visits for top 20 locations; AP and AM hubs prioritised,No
24,3,ERP Landscape Analysis (SAP and Non-SAP),40 days,10/01/26,11/26/26,19,JCI ERP Team + KPMG,FRAME-comparable SAP landscape,No
25,3,Data Ownership and Separation Rules,30 days,11/02/26,12/11/26,"22,24",KPMG + Legal,Non-selective migration approach preferred (ref. FRAME),No
26,3,Contract and License Inventory,40 days,10/01/26,11/26/26,19,JCI Procurement + IT,Change of control clauses; ~6000 device licenses,No
27,3,HR IT Systems Mapping (8000 Employees),30 days,10/01/26,11/11/26,19,JCI HR IT,Country-by-country HR rules required,No
28,3,OT and Production IT Assessment,30 days,10/15/26,11/25/26,19,JCI OT + Production IT,,No
29,3,Country-Specific IT Requirements (Brazil China India Mexico),25 days,10/19/26,11/20/26,19,Regional IT Leads,Brazil ERP tax complexity; China local FTS; India RBIN,No
30,2,2.2 Merger Zone Architecture Design,60 days,12/01/26,02/19/27,"22,23",Bosch IT Architects + KPMG,,No
31,3,Merger Zone Concept and Design Workshop,10 days,12/01/26,12/14/26,22,Bosch + JCI Architects,Temporary environment to receive all JCI IT services and applications,No
32,3,WAN and LAN Architecture Design (180 Sites),20 days,12/14/26,01/11/27,31,Bosch Infra + KPMG,Regional hub model: AP hub + AM hub + EMEA hub,No
33,3,Active Directory Design (Merger Zone),20 days,12/14/26,01/11/27,31,Bosch AD Team,,No
34,3,M365 and Azure Tenant Design,20 days,12/14/26,01/11/27,31,Bosch Azure Team,6000+ mailboxes and OneDrive migration scope,No
35,3,Co-Locator and Data Center Selection (per Region),30 days,12/01/26,01/13/27,22,Bosch Procurement + IT,Recommend 3 regional co-locators: AP / AM / EMEA,No
36,3,Security Architecture Design,25 days,01/11/27,02/13/27,"32,33",Bosch CISO,,No
